apex,assessed,score,band,unassessed_reason,D1,D2,D3,D4,D5,D6,Q1,F1,F2,candidates_responded,protocol_era,requests,methodology_version,candidates_version
plith.ai,1,15,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,pass,,,13,0.2.0-draft,2026-08-04
plixana.com,1,45,Discoverable,,fail,fail,fail,pass,skip,skip,skip,pass,fail,,,15,0.2.0-draft,2026-08-04
ploi.cloud,1,80,Connectable,,fail,fail,pass,pass,pass,fail,skip,pass,fail,,modern,24,0.2.0-draft,2026-08-04
plori.ai,1,85,Connectable,,pass,fail,fail,pass,pass,fail,skip,pass,pass,mcp-server-card-json,modern,21,0.2.0-draft,2026-08-04
plugrail.dev,1,0,Absent,,fail,fail,fail,fail,skip,skip,skip,fail,fail,,,14,0.2.0-draft,2026-08-04
plurality.network,1,5,Text-only,,fail,fail,fail,fail,skip,skip,skip,fail,pass,,,15,0.2.0-draft,2026-08-04
plyrium.com,1,0,Absent,,fail,fail,fail,fail,skip,skip,skip,fail,fail,,,17,0.2.0-draft,2026-08-04
plyto.ai,1,45,Discoverable,,pass,fail,fail,fail,skip,skip,skip,pass,fail,mcp-server-card-json,,13,0.2.0-draft,2026-08-04
pm-33.io,1,0,Absent,,fail,fail,fail,fail,skip,skip,skip,fail,fail,,,14,0.2.0-draft,2026-08-04
pnllabs.com,1,95,Agent-ready,,fail,fail,pass,fail,pass,pass,pass,pass,fail,,legacy,21,0.2.0-draft,2026-08-04
pntr.dev,1,10,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,fail,,,14,0.2.0-draft,2026-08-04
po6.com,1,40,Discoverable,,pass,fail,fail,fail,skip,skip,skip,fail,pass,mcp-json,,17,0.2.0-draft,2026-08-04
pocketdrives.ai,1,85,Connectable,,fail,fail,pass,fail,pass,fail,skip,pass,pass,,legacy,18,0.2.0-draft,2026-08-04
podcast-shorts-a2a-production.up.railway.app,1,10,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,fail,,,28,0.2.0-draft,2026-08-04
podkitapp.com,1,0,Absent,,fail,fail,fail,fail,skip,skip,skip,fail,fail,,,14,0.2.0-draft,2026-08-04
podpast.ai,1,85,Connectable,,fail,fail,pass,pass,pass,fail,skip,pass,pass,,modern,21,0.2.0-draft,2026-08-04
podstow.app,1,0,Absent,,fail,fail,fail,fail,skip,skip,skip,fail,fail,,,16,0.2.0-draft,2026-08-04
pody.io,1,50,Discoverable,,pass,fail,fail,fail,skip,skip,skip,pass,pass,mcp-json,,14,0.2.0-draft,2026-08-04
pointifytravels.com,1,15,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,pass,,,18,0.2.0-draft,2026-08-04
pokeka.xyz,1,100,Agent-ready,,pass,fail,pass,fail,pass,pass,pass,pass,pass,mcp-json,legacy,18,0.2.0-draft,2026-08-04
pokes.dev,1,0,Absent,,fail,fail,fail,fail,skip,skip,skip,fail,fail,,,14,0.2.0-draft,2026-08-04
policyforge.co,1,45,Discoverable,,fail,fail,fail,pass,skip,skip,skip,pass,fail,,,13,0.2.0-draft,2026-08-04
policylayer.com,1,80,Connectable,,fail,fail,pass,fail,pass,fail,skip,pass,fail,,legacy,24,0.2.0-draft,2026-08-04
politicalcomms.com,1,85,Connectable,,pass,fail,pass,fail,pass,fail,skip,pass,pass,ai-catalog|mcp-json|mcp-server-card-json,legacy,28,0.2.0-draft,2026-08-04
politikdata.dk,1,70,Connectable,,fail,fail,pass,fail,pass,fail,skip,fail,fail,,legacy,23,0.2.0-draft,2026-08-04
pollar.news,1,85,Connectable,,fail,fail,pass,fail,pass,pass,fail,pass,pass,,legacy,24,0.2.0-draft,2026-08-04
pollbolt.com,1,0,Absent,,fail,fail,fail,fail,skip,skip,skip,fail,fail,,,17,0.2.0-draft,2026-08-04
polsia.app,1,0,Absent,,error,fail,fail,error,skip,skip,skip,fail,fail,,,6,0.2.0-draft,2026-08-04
polybridge.ai,1,10,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,fail,,,19,0.2.0-draft,2026-08-04
polydoc.tech,1,10,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,fail,,,20,0.2.0-draft,2026-08-04
polyglot-debugger-mcp.vercel.app,1,0,Absent,,fail,fail,fail,fail,skip,skip,skip,fail,fail,,,27,0.2.0-draft,2026-08-04
polygraph.so,1,45,Discoverable,,pass,fail,fail,fail,skip,skip,skip,pass,fail,mcp-server-card-json,,25,0.2.0-draft,2026-08-04
polymarket-intel-production.up.railway.app,1,35,Discoverable,,pass,fail,fail,fail,skip,skip,skip,fail,fail,mcp-server-card-json,,28,0.2.0-draft,2026-08-04
polystrike.xyz,1,10,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,fail,,,14,0.2.0-draft,2026-08-04
ponito.com,1,85,Connectable,,fail,fail,pass,fail,pass,pass,pass,fail,fail,,legacy,37,0.2.0-draft,2026-08-04
ponlo.ai,1,45,Discoverable,,fail,fail,fail,pass,skip,skip,skip,pass,fail,,,13,0.2.0-draft,2026-08-04
poolparty.io,1,80,Connectable,,pass,fail,pass,fail,pass,fail,skip,pass,fail,mcp-server-card-json,legacy,37,0.2.0-draft,2026-08-04
popdot.ai,1,100,Agent-ready,,pass,fail,pass,fail,pass,pass,pass,pass,pass,ai-catalog,legacy,24,0.2.0-draft,2026-08-04
pops4.com,1,100,Agent-ready,,pass,fail,pass,fail,pass,pass,pass,pass,pass,mcp-json,legacy,23,0.2.0-draft,2026-08-04
port-scanner-x402-production.up.railway.app,1,0,Absent,,fail,fail,fail,fail,skip,skip,skip,fail,fail,,,27,0.2.0-draft,2026-08-04
port.io,1,15,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,pass,,,24,0.2.0-draft,2026-08-04
portfolio-signals-mcp.fly.dev,1,0,Absent,,error,fail,fail,error,skip,skip,skip,fail,fail,,,38,0.2.0-draft,2026-08-04
portfolio.fit,1,0,Absent,,fail,fail,fail,fail,skip,skip,skip,fail,fail,,,23,0.2.0-draft,2026-08-04
portlandmaps-mcp.vercel.app,1,70,Connectable,,fail,fail,pass,fail,pass,fail,skip,fail,fail,,legacy,32,0.2.0-draft,2026-08-04
portscan.com,1,10,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,fail,,,16,0.2.0-draft,2026-08-04
pos.do,1,85,Connectable,,pass,fail,pass,fail,pass,pass,fail,pass,pass,mcp-json|mcp-server-card-json,legacy,23,0.2.0-draft,2026-08-04
poshkan.com,1,0,Absent,,fail,fail,fail,fail,skip,skip,skip,fail,fail,,,25,0.2.0-draft,2026-08-04
positif.ai,1,10,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,fail,,,14,0.2.0-draft,2026-08-04
post-bridge.com,1,35,Discoverable,,fail,fail,fail,pass,skip,skip,skip,fail,fail,,,35,0.2.0-draft,2026-08-04
post-pulse.com,1,15,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,pass,,,17,0.2.0-draft,2026-08-04
postagent.sh,1,70,Connectable,,pass,fail,fail,fail,pass,fail,skip,fail,fail,ai-catalog,legacy,20,0.2.0-draft,2026-08-04
postapp.win,1,95,Agent-ready,,fail,fail,pass,fail,pass,pass,pass,pass,fail,,legacy,21,0.2.0-draft,2026-08-04
postari.io,1,45,Discoverable,,fail,fail,fail,pass,skip,skip,skip,pass,fail,,,17,0.2.0-draft,2026-08-04
postassembly.com,1,15,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,pass,,,15,0.2.0-draft,2026-08-04
postcodeproperty.ai,1,50,Discoverable,,pass,fail,fail,fail,skip,skip,skip,pass,pass,ai-catalog,,13,0.2.0-draft,2026-08-04
postcopilot.ai,1,80,Connectable,,pass,fail,pass,fail,pass,fail,skip,pass,fail,mcp-json,legacy,19,0.2.0-draft,2026-08-04
poster.ly,1,45,Discoverable,,fail,fail,fail,pass,skip,skip,skip,pass,fail,,,38,0.2.0-draft,2026-08-04
posteverywhere.ai,1,50,Discoverable,,pass,fail,fail,pass,skip,skip,skip,pass,pass,mcp-json|mcp-server-card-json,,15,0.2.0-draft,2026-08-04
postgate-ai.com,1,0,Absent,,fail,fail,fail,fail,skip,skip,skip,fail,fail,,,16,0.2.0-draft,2026-08-04
posthell.com,1,15,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,pass,,,25,0.2.0-draft,2026-08-04
posthog.com,1,15,Text-only,,fail,fail,fail,fail,skip,skip,skip,pass,pass,,,17,0.2.0-draft,2026-08-04
