apex,assessed,score,band,unassessed_reason,D1,D2,D3,D4,D5,D6,D7,C1,Q1,F1,F2,candidates_responded,protocol_era,requests,methodology_version,candidates_version
snowy-surf-deec.workers.dev,1,0,Absent,,error,fail,fail,error,skip,skip,error,skip,skip,fail,fail,,,6,0.4.0,2026-08-07
snugplanner.com,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,16,0.4.0,2026-08-07
snyk.io,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,14,0.4.0,2026-08-07
soapnoteapi.com,1,15,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,,,18,0.4.0,2026-08-07
socal-business-storefront.onrender.com,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,28,0.4.0,2026-08-07
social-api.ai,1,15,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,,,17,0.4.0,2026-08-07
social-intel-mcp-production.up.railway.app,1,0,Absent,,error,fail,fail,error,skip,skip,error,skip,skip,fail,fail,,,37,0.4.0,2026-08-07
social-profile-x402-production.up.railway.app,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,28,0.4.0,2026-08-07
socialai.one,1,50,Discoverable,,fail,fail,fail,pass,skip,skip,fail,skip,skip,pass,pass,,,17,0.4.0,2026-08-07
socialbridge-mcp.vercel.app,1,70,Connectable,,fail,fail,pass,fail,pass,fail,fail,skip,skip,fail,fail,,legacy,33,0.4.0,2026-08-07
socialbu.com,1,35,Discoverable,,fail,fail,fail,pass,skip,skip,fail,skip,skip,fail,fail,,,15,0.4.0,2026-08-07
socialchamp.com,1,50,Discoverable,,pass,fail,fail,pass,skip,skip,fail,skip,skip,pass,pass,mcp-json|mcp-server-card-json,,36,0.4.0,2026-08-07
socialcooks.com,1,45,Discoverable,,pass,fail,fail,fail,fail,skip,fail,skip,skip,pass,fail,mcp-server-card-json,,14,0.4.0,2026-08-07
socialdatax.com,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,17,0.4.0,2026-08-07
socialfetch.dev,1,80,Connectable,,fail,fail,pass,pass,pass,fail,fail,skip,skip,pass,fail,,legacy,34,0.4.0,2026-08-07
sociality.io,1,10,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,fail,,,15,0.4.0,2026-08-07
socializioz.com,1,50,Discoverable,,fail,fail,fail,pass,skip,skip,fail,skip,skip,pass,pass,,,17,0.4.0,2026-08-07
socialloop.ai,1,85,Connectable,,pass,fail,fail,pass,pass,fail,fail,skip,skip,pass,pass,mcp-json,modern,20,0.4.0,2026-08-07
socialneuron.com,1,50,Discoverable,,pass,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,mcp-json,,16,0.4.0,2026-08-07
socialperks.app,1,15,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,,,15,0.4.0,2026-08-07
socialrainbow.app,1,15,Text-only,,fail,fail,fail,fail,skip,skip,fail,skip,skip,pass,pass,,,15,0.4.0,2026-08-07
socialspool.com,1,85,Connectable,,fail,fail,pass,pass,pass,fail,fail,skip,skip,pass,pass,,modern,21,0.4.0,2026-08-07
socialync-mcp-ntgtgrzanq-ue.a.run.app,1,0,Absent,,skip,fail,fail,skip,skip,skip,skip,skip,skip,skip,fail,,,16,0.4.0,2026-08-07
sociologic.ai,1,85,Connectable,,pass,fail,pass,pass,pass,fail,fail,skip,skip,pass,pass,mcp-server-card-json,modern,33,0.4.0,2026-08-07
sociologicai.com,1,70,Connectable,,fail,fail,pass,pass,pass,fail,fail,skip,skip,fail,fail,,modern,21,0.4.0,2026-08-07
sodax.com,1,85,Connectable,,pass,fail,fail,fail,pass,fail,fail,fail,skip,pass,pass,mcp-server-card-json,legacy,30,0.4.0,2026-08-07
soeru.biz,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,21,0.4.0,2026-08-07
softbowl.co.kr,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,15,0.4.0,2026-08-07
softricks.net,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,22,0.4.0,2026-08-07
sofya.co,1,45,Discoverable,,fail,fail,fail,pass,skip,skip,fail,skip,skip,pass,fail,,,17,0.4.0,2026-08-07
sol-forge-mcp.vercel.app,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,27,0.4.0,2026-08-07
solana-fees-x402-production.up.railway.app,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,28,0.4.0,2026-08-07
solana-launches-x402-production.up.railway.app,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,28,0.4.0,2026-08-07
solana-pools-x402-production.up.railway.app,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,28,0.4.0,2026-08-07
solenium.ai,1,0,Absent,,fail,fail,fail,fail,skip,skip,fail,skip,skip,fail,fail,,,15,0.4.0,2026-08-07
solenrich.com,1,95,Agent-ready,,fail,fail,pass,fail,pass,pass,fail,skip,pass,pass,fail,,legacy,36,0.4.0,2026-08-07
solidus-mcp.fly.dev,1,0,Absent,,error,fail,fail,error,skip,skip,error,skip,skip,fail,fail,,,3,0.4.0,2026-08-07
